,Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
1304,3,0,42,0,2348,62,10,37,1,1,1,15,187.55,0
1305,11,0,42,1,3730,86,40,32,3,1,1,30,312.64,0
1309,7,0,42,1,4470,87,10,29,3,1,1,30,222.28,0
1318,0,0,41,0,0,0,8,0,2,1,2,25,36.0,1
1322,23,1,37,0,910,51,24,21,2,1,2,25,151.245,1
1325,1,0,38,0,2795,26,8,18,3,1,1,30,144.84,0
1326,9,1,39,0,2945,45,17,20,3,1,2,30,187.6,1
1327,9,0,40,0,2223,48,42,35,3,1,2,30,258.84,1
1328,0,0,40,0,88,6,8,6,3,1,2,30,35.76,1
1331,0,1,40,0,583,11,17,8,4,1,2,45,57.35,1
1332,0,0,40,1,293,8,12,6,5,1,1,55,22.515,0
1333,25,0,35,3,16030,242,8,84,2,1,1,25,768.24,0
1349,3,0,13,1,1443,23,8,11,3,1,1,30,90.64,1
1360,0,0,30,0,5353,79,0,4,2,1,1,25,244.44,0
1362,15,0,30,1,14575,209,32,24,2,1,1,25,809.28,0
1368,0,0,29,0,0,0,0,0,2,1,2,25,0.0,1
1370,0,0,29,0,10900,138,0,39,3,1,1,30,441.52,0
1371,0,0,29,0,6153,59,86,29,2,1,1,25,666.54,0
1372,13,1,25,0,390,31,0,9,2,1,2,25,18.945,1
1373,11,0,28,6,9870,77,0,34,4,2,1,45,248.675,0
1374,3,0,28,0,5253,82,4,16,2,1,1,25,258.075,1
1376,0,1,27,0,2425,25,0,8,2,1,2,25,110.25,1
1377,0,1,28,0,1703,28,12,23,3,1,2,30,117.24,1
1378,0,0,28,0,0,0,0,0,2,1,2,25,0.0,1
1381,0,0,28,0,0,0,0,0,3,1,2,30,0.0,1
1382,0,1,28,0,0,0,0,0,4,1,1,45,0.0,1
1385,0,0,28,0,3153,66,0,20,2,1,1,25,144.855,0
1389,0,0,18,0,1003,23,8,60,4,1,1,45,45.65,0
1394,0,0,10,0,1130,10,6,6,2,1,1,25,78.3,0
1395,6,0,9,0,5828,125,63,34,1,2,1,15,673.915,0
1397,0,0,8,1,2288,29,9,11,3,1,1,30,128.68,0
1399,0,0,3,0,0,0,0,0,2,1,1,25,0.0,1
1400,5,0,39,0,4245,73,9,20,2,1,1,25,234.81,0
1403,7,0,39,0,4073,68,5,38,1,1,1,15,255.255,0
1405,8,0,39,0,3650,84,36,31,2,1,1,25,330.03,0
1409,4,0,39,0,4390,85,6,28,3,1,1,30,203.0,0
1410,3,0,39,0,5793,97,11,15,2,1,1,25,314.55,0
1418,0,0,38,0,0,0,4,0,2,1,2,25,18.0,1
1419,0,0,38,0,7383,129,388,46,2,1,1,25,2084.04,0
1422,20,1,34,0,830,49,20,20,2,1,2,25,129.555,1
1423,18,0,37,7,10310,95,5,45,4,2,1,45,272.625,0
1424,10,0,37,0,5693,100,30,27,2,1,1,25,395.685,1
1426,6,1,36,0,2865,43,13,19,2,1,2,25,189.36,1
1427,6,1,37,0,2143,46,38,34,3,1,2,30,239.56,1
1428,0,0,37,0,8,4,4,5,3,1,2,30,16.48,1
1431,0,1,37,0,503,9,13,7,4,1,2,45,45.3,1
1432,0,0,37,0,213,6,8,5,5,1,1,55,15.285,0
1434,3,0,35,2,6840,118,275,36,2,2,1,25,1550.61,0
1436,0,0,36,0,1540,46,42,23,3,1,2,30,231.44,0
1441,0,0,27,0,700,12,25,6,4,1,2,45,80.3,0
1442,7,0,26,0,1100,34,23,16,2,1,1,25,154.53,0
1444,0,0,19,0,1570,28,32,17,2,1,1,25,215.91,0
1449,0,1,10,0,1363,21,4,10,2,1,1,25,80.28,1
1464,2,0,32,0,15000,168,132,23,2,1,1,25,1276.56,0
1467,0,0,33,0,0,0,0,0,2,1,2,25,0.0,0
1468,0,0,32,0,0,0,0,0,2,1,2,25,0.0,1
1472,16,0,28,0,470,33,0,10,2,1,2,25,22.635,1
1474,6,1,31,0,5333,84,8,17,2,1,1,25,279.765,1
1476,2,1,30,0,2505,27,0,9,2,1,2,25,113.94,1
1477,2,0,31,0,1783,30,16,24,3,1,2,30,136.52,1
1478,0,0,31,0,0,0,0,0,3,1,2,30,0.0,1
1481,0,0,31,0,0,0,0,0,4,1,2,45,0.0,1
1486,0,0,30,0,1180,30,20,13,3,1,2,30,128.4,0
1489,0,0,21,0,1083,25,12,61,4,1,1,45,57.7,0
1492,3,0,20,0,740,18,1,6,2,1,1,25,38.61,0
1493,0,0,20,0,2740,47,0,16,3,1,1,30,111.48,0
1495,9,0,12,0,5908,127,67,35,1,2,1,15,700.425,0
1499,0,0,4,0,1003,5,0,4,2,1,1,25,45.36,1
1502,9,0,35,1,2748,64,373,37,2,1,1,25,1805.04,0
1511,8,0,36,0,2533,58,22,30,3,1,2,30,191.64,0
1517,1,0,36,0,1005,18,27,21,2,1,2,25,167.535,0
1518,0,1,35,0,295,4,14,13,2,1,2,25,76.455,1
1522,22,0,31,0,1250,51,30,30,2,1,2,25,193.545,1
1523,20,0,34,9,10730,97,15,55,4,1,1,45,308.175,0
1525,0,0,32,1,3135,26,14,27,3,1,1,30,182.44,0
1526,8,0,33,0,3285,45,23,29,2,1,2,25,253.35,1
1527,8,1,34,0,2563,48,48,44,3,1,2,30,296.44,1
1528,0,0,34,0,428,6,14,15,3,1,2,30,73.36,1
1531,0,0,34,0,923,11,23,17,4,1,2,45,80.85,1
1535,1,0,34,1,4013,86,16,41,2,1,1,25,256.455,0
1536,2,1,33,0,1960,48,52,33,3,1,2,30,288.32,1
1538,3,0,25,2,1610,40,207,24,2,2,1,25,1005.75,0
1547,7,0,14,4,3148,49,45,32,3,1,1,30,307.88,0
1549,2,1,7,2,1783,23,14,20,3,1,1,30,128.24,1
1550,0,0,36,0,3465,55,0,10,2,1,1,25,158.4,0
1551,0,0,37,0,0,0,0,0,2,1,2,25,0.0,0
1555,2,0,36,0,2870,66,4,11,2,1,1,25,150.12,0
1556,0,0,36,0,1455,23,257,1,3,1,1,30,1087.12,0
1568,0,0,35,0,0,0,0,0,2,1,2,25,0.0,1
1569,0,0,35,0,6603,111,356,26,2,1,1,25,1904.13,0
1572,7,0,31,0,50,2,0,1,2,1,2,25,2.34,1
1574,4,0,34,0,4913,82,0,7,2,1,1,25,224.775,1
1576,0,0,33,0,2085,25,0,9,2,1,2,25,94.95,1
1577,0,1,34,0,1363,28,6,14,3,1,2,30,79.64,1
1578,0,0,34,0,0,0,0,0,2,1,2,25,0.0,1
1579,0,0,34,0,0,0,0,0,3,1,1,30,0.0,0
1580,0,0,31,0,5880,81,0,5,4,1,1,45,149.025,0
1581,0,1,34,0,0,0,0,0,4,1,2,45,0.0,1
1588,0,0,25,0,1903,20,165,8,2,2,1,25,829.035,0
1594,0,0,16,0,0,0,0,0,2,1,1,25,0.0,0
1595,7,0,15,0,5488,125,57,25,1,2,1,15,622.215,0
1599,0,0,7,0,0,0,0,0,2,1,1,25,0.0,1
1605,6,0,37,1,3585,82,57,30,3,1,1,30,374.68,0
1610,1,0,37,0,5728,95,32,14,3,1,1,30,360.92,0
1616,0,0,36,0,685,14,25,13,2,1,2,25,143.955,0
1617,0,0,37,0,520,14,38,10,3,1,2,30,173.36,0
1618,0,0,36,0,0,0,25,0,2,1,2,25,112.5,1
1620,2,0,36,1,11275,154,36,49,4,1,1,45,375.725,0
1621,3,0,36,1,6528,75,133,39,2,1,1,25,895.635,0
1622,18,0,32,0,765,47,41,19,3,1,2,30,196.48,1
1624,8,1,35,1,5628,98,51,26,2,1,1,25,487.17,1
1626,4,1,34,0,2800,41,34,18,3,1,2,30,249.64,1
1627,4,0,35,0,2078,44,59,33,3,1,2,30,320.88,1
1628,0,0,35,0,0,0,25,0,3,1,2,30,100.0,1
1630,0,0,32,1,6595,97,39,24,5,1,1,55,158.88,0
1631,0,0,35,0,438,7,34,6,4,1,2,45,96.125,1
1637,1,0,35,0,2590,53,200,25,2,1,1,25,1018.935,0
1642,5,0,24,0,1035,32,44,15,2,1,1,25,246.015,0
1644,0,0,17,0,1505,26,53,16,2,1,1,25,307.395,0
1645,11,0,16,1,6203,141,110,44,2,2,1,25,780.48,0
1649,0,1,8,1,1298,19,25,9,3,1,1,30,152.68,1
1650,3,0,35,0,3950,59,0,11,2,1,1,25,180.405,0
1651,0,0,36,0,0,0,0,0,2,1,2,25,0.0,0
1653,5,0,35,0,3778,54,0,29,1,1,1,15,210.76,0
1657,8,0,34,0,8695,109,105,37,3,1,1,30,772.16,0
1665,0,0,34,0,6080,74,147,20,3,1,1,30,834.16,0
1668,0,0,34,0,0,0,0,0,2,1,2,25,0.0,1
1672,18,0,30,0,535,35,0,11,2,1,2,25,25.65,1
1674,8,0,33,0,5398,86,0,18,2,1,1,25,246.78,1
1676,4,1,32,0,2570,29,0,10,2,1,2,25,116.955,1
1677,4,0,33,0,1848,32,0,25,3,1,2,30,75.2,1
1678,0,0,33,0,0,0,0,0,2,1,2,25,0.0,1
1681,0,0,33,0,0,0,0,0,3,1,2,30,0.0,1
1692,5,0,22,0,805,20,0,7,1,1,1,15,45.375,0
1693,0,0,22,0,2805,49,0,17,3,1,1,30,114.16,0
1699,0,1,6,0,1068,7,0,1,2,1,1,25,48.375,1
1711,6,1,36,0,2123,49,10,18,3,1,2,30,126.88,0
1714,6,0,35,0,15370,177,152,31,2,1,1,25,1383.615,0
1716,0,0,35,0,760,9,2,12,2,1,2,25,43.605,0
1718,0,0,35,0,0,0,2,0,2,1,2,25,9.0,1
1722,20,0,31,0,840,42,18,18,2,1,2,25,120.69,1
1724,10,0,34,0,5703,93,28,25,2,1,1,25,386.82,1
1725,0,0,32,0,2725,17,2,15,3,1,1,30,117.68,0
1726,6,0,33,0,2875,36,11,17,2,1,2,25,180.495,1
1727,6,1,34,0,2153,39,36,32,3,1,2,30,231.68,1
1728,0,0,34,0,0,0,2,0,3,1,2,30,8.0,1
1729,0,0,34,0,1553,20,2,7,3,1,1,30,70.92,0
1731,0,0,34,0,513,2,11,5,4,1,2,45,40.375,1
1734,3,0,32,2,6850,111,273,34,2,2,1,25,1541.745,0
1741,0,0,24,0,710,5,23,4,4,1,2,45,75.375,0
1743,0,0,23,0,3110,56,10,24,3,1,1,30,166.64,0
1744,0,0,16,0,1580,21,30,15,2,1,1,25,207.045,0
1746,9,0,13,0,8817,166,75,41,4,1,1,45,412.075,0
1747,5,0,14,2,2737,40,33,20,3,1,1,30,243.08,0
1749,0,1,7,0,1372,14,2,8,2,1,1,25,71.37,1
1751,0,0,37,0,0,0,0,0,2,1,2,25,0.0,0
1756,0,0,36,0,1865,32,269,13,3,1,1,30,1151.88,0
1765,0,0,35,0,6005,79,170,21,3,1,1,30,923.36,0
1768,0,0,35,0,0,0,0,0,2,1,2,25,0.0,1
1772,16,1,31,0,460,40,0,12,2,1,2,25,22.5,1
1773,14,0,34,7,9940,86,0,37,4,1,1,45,250.65,0
1774,6,0,34,0,5323,91,10,19,2,1,1,25,288.63,1
1776,2,1,33,0,2495,34,0,11,2,1,2,25,113.805,1
1777,2,0,34,0,1773,37,18,26,3,1,2,30,144.4,1
1778,0,0,34,0,0,0,0,0,3,1,2,30,0.0,1
1781,0,0,34,0,0,0,0,0,4,1,2,45,0.0,1
1783,18,0,29,2,15580,231,0,75,2,1,1,25,711.495,0
1786,0,0,33,0,1170,37,22,15,3,1,2,30,136.28,0
1792,3,0,23,0,730,25,3,8,2,1,1,25,47.475,0
1794,0,0,16,0,1200,19,12,9,2,1,1,25,108.855,0
1795,9,0,15,0,5897,134,69,37,1,2,1,15,711.205,0
1799,0,0,7,0,992,12,0,2,2,1,1,25,45.18,1
1806,0,0,31,0,2055,27,270,15,3,1,1,30,1163.28,0
1808,0,0,31,0,13468,157,0,41,3,1,1,30,545.0,0
1811,2,0,31,0,1933,42,0,14,3,1,2,30,79.0,0
1815,0,0,30,0,6195,74,171,23,3,1,1,30,934.76,0
1817,0,0,31,0,405,2,0,5,2,1,2,25,18.315,0
1818,0,0,30,0,0,0,0,0,2,1,2,25,0.0,1
1822,16,0,26,0,650,35,1,14,2,1,2,25,35.325,1
1823,14,0,29,6,10130,81,0,39,4,1,1,45,255.275,0
1824,6,0,29,0,5513,86,11,21,2,1,1,25,301.455,1
1826,2,0,28,0,2685,29,0,13,2,1,2,25,122.13,1
1827,2,0,29,0,1963,32,19,28,3,1,2,30,155.8,1
1828,0,0,29,0,0,0,0,0,2,1,2,25,0.0,1
1831,0,0,29,0,0,0,0,0,3,1,2,30,0.0,1
1832,0,0,29,0,0,0,0,0,4,1,1,45,0.0,0
1845,9,0,10,0,6087,129,70,39,1,2,1,15,726.88,0
1849,0,0,3,0,1182,7,0,4,2,1,1,25,53.505,1
1863,1,0,41,1,2790,27,484,7,3,1,1,30,2048.68,0
1865,0,0,40,1,6195,86,187,25,3,1,1,30,999.24,0
1866,0,0,40,0,570,14,1,10,2,1,2,25,30.78,0
1868,0,0,40,0,0,0,1,0,2,1,2,25,4.5,1
1870,4,0,40,1,11160,154,12,46,4,1,1,45,312.85,0
1872,20,0,36,0,650,47,17,16,3,1,2,30,95.88,1
1873,18,0,39,8,10130,93,2,41,5,1,1,55,156.345,0
1874,10,0,39,1,5513,98,27,23,2,1,1,25,373.995,1
1876,6,1,38,0,2685,41,10,15,3,1,2,30,149.04,1
1877,6,0,39,0,1963,44,35,30,3,1,2,30,220.28,1
1878,0,0,39,0,0,0,1,0,3,1,2,30,4.0,1
1881,0,0,39,0,323,7,10,3,4,1,2,45,33.25,1
1888,1,0,30,1,1010,36,194,10,2,2,1,25,920.07,0
1890,8,0,30,0,395,25,11,6,3,1,2,30,60.8,0
1899,0,0,12,1,1182,19,1,6,3,1,1,30,52.04,1
1902,11,0,36,0,2858,65,360,22,2,1,1,25,1751.535,0
1903,11,0,37,0,4603,71,2,33,1,1,1,15,268.07,0
1908,8,0,37,0,14178,174,1,42,3,1,1,30,578.08,0
1913,5,0,37,1,3500,32,484,6,3,1,1,30,2077.28,0
1916,1,0,36,0,1280,19,1,9,2,1,2,25,62.955,0
1918,0,0,36,0,0,0,1,0,2,1,2,25,4.5,1
1922,24,0,32,0,1360,52,17,15,2,1,2,25,140.04,1
1926,10,0,34,0,3395,46,10,14,3,1,2,30,177.64,1
1927,10,1,35,0,2673,49,35,29,3,1,2,30,248.88,1
1928,1,0,35,0,538,7,1,1,3,1,2,30,25.8,1
1931,1,0,35,0,1033,12,10,2,4,1,2,45,51.125,1
1938,5,0,26,1,1720,41,194,9,2,2,1,25,952.245,0
1940,12,0,26,0,1105,30,11,5,2,1,2,25,100.575,0
1947,9,0,15,3,3257,50,32,17,3,1,1,30,260.28,0
1949,4,0,8,1,1892,24,1,5,3,1,1,30,80.64,1
1961,0,0,35,0,1223,37,0,15,3,1,2,30,50.4,0
1964,0,0,34,0,14470,165,118,28,2,1,1,25,1189.575,0
1967,0,0,35,0,0,0,0,0,2,1,2,25,0.0,0
1968,0,0,34,0,0,0,0,0,2,1,2,25,0.0,1
1969,0,0,34,0,6493,110,352,41,2,1,1,25,1881.135,0
1972,0,1,30,0,0,0,0,0,2,1,2,25,0.0,1
1974,2,1,33,0,4803,81,0,22,2,1,1,25,219.78,1
1976,0,0,32,0,1975,24,0,14,2,1,2,25,89.955,1
1977,0,0,33,0,1253,27,2,29,3,1,2,30,59.2,1
1978,0,1,33,0,0,0,0,0,2,1,2,25,0.0,1
1979,0,0,33,0,653,8,0,4,3,1,1,30,26.44,0
1981,0,0,33,0,0,0,0,0,3,1,2,30,0.0,1
1983,14,0,28,1,15060,221,0,78,2,1,1,25,687.645,0
1990,0,0,24,0,0,0,0,0,2,1,2,25,0.0,0
1999,0,0,6,0,472,2,0,5,2,1,1,25,21.33,1
2002,5,0,35,0,2148,54,352,22,2,1,1,25,1683.09,0
2004,0,0,36,0,2088,52,0,31,1,1,1,15,117.7,0
2008,2,0,36,0,13468,163,0,42,3,1,1,30,545.24,0
2016,0,0,35,0,570,8,0,9,2,1,2,25,26.01,0
2018,0,1,35,0,0,0,0,0,2,1,2,25,0.0,1
2020,2,0,35,0,11160,148,4,45,3,1,1,30,468.32,0
2021,3,0,35,0,6413,69,101,35,2,1,1,25,746.19,0
2022,18,0,31,0,650,41,9,15,2,1,2,25,71.595,1
2024,8,0,34,0,5513,92,19,22,2,1,1,25,337.725,1
2026,4,0,33,0,2685,35,2,14,2,1,2,25,131.4,1
2027,4,1,34,0,1963,38,27,29,3,1,2,30,188.04,1
2028,0,0,34,0,0,0,0,0,3,1,2,30,0.0,1
2031,0,1,34,0,323,1,2,2,4,1,2,45,13.1,1
2034,1,0,32,2,6660,110,264,31,2,2,1,25,1492.65,0
2036,0,0,33,0,1360,38,31,18,3,1,2,30,179.92,0
2038,0,0,25,0,1010,30,186,9,2,2,1,25,883.8,0
2044,0,0,16,0,1390,20,21,12,2,1,1,25,157.95,0
2045,11,0,15,0,6087,135,78,40,1,2,1,15,771.21,0
2047,3,0,14,2,2547,39,24,17,3,1,1,30,199.44,0
2049,0,0,7,0,1182,13,0,5,2,1,1,25,53.775,1
2050,3,0,36,0,4065,65,0,15,2,1,1,25,185.85,0
2051,0,0,37,0,0,0,0,0,2,1,2,25,0.0,0
2055,6,0,36,0,3470,76,25,26,2,1,1,25,272.07,0
2058,2,0,36,0,13468,163,0,42,3,1,1,30,545.24,0
2068,0,0,35,0,0,0,0,0,2,1,2,25,0.0,1
2072,18,1,31,0,650,41,9,15,2,1,2,25,71.595,1
2074,8,0,34,0,5513,92,19,22,2,1,1,25,337.725,1
2075,0,0,32,0,2535,16,0,12,3,1,1,30,102.04,0
2076,4,1,33,0,2685,35,2,14,2,1,2,25,131.4,1
2077,4,0,34,0,1963,38,27,29,3,1,2,30,188.04,1
2078,0,1,34,0,0,0,0,0,3,1,2,30,0.0,1
2081,0,0,34,0,323,1,2,2,4,1,2,45,13.1,1
2095,11,0,15,0,6087,135,78,40,1,2,1,15,771.21,0
2099,0,0,7,0,1182,13,0,5,2,1,1,25,53.775,1
2100,13,0,40,1,4675,77,12,19,3,1,1,30,238.08,0
2105,16,0,40,2,4080,88,39,30,3,1,1,30,322.72,0
2116,5,0,39,0,1180,20,7,13,2,1,2,25,85.5,0
2117,7,0,40,0,1015,20,20,10,3,1,2,30,121.4,0
2118,5,0,39,0,305,6,7,2,2,1,2,25,45.495,1
2122,28,0,35,0,1260,53,23,19,3,1,2,30,144.52,1
2126,14,1,37,0,3295,47,16,18,3,1,2,30,197.68,1
2127,14,1,38,0,2573,50,41,33,4,1,2,45,168.075,1
2128,5,0,38,0,438,8,7,4,3,1,2,30,45.84,1
2131,5,0,38,0,933,13,16,6,4,1,2,45,63.65,1
2142,15,0,27,1,1530,38,26,15,2,1,1,25,187.56,0
2144,7,0,20,1,2000,32,35,16,3,1,1,30,221.28,0
2145,21,0,19,2,6698,147,92,44,2,2,1,25,722.025,0
2147,13,0,18,4,3158,51,38,21,3,2,1,30,280.36,0
2149,8,1,11,2,1793,25,7,9,3,1,1,30,100.72,1
2162,33,0,42,5,15505,234,66,36,3,2,1,30,893.56,0
2164,17,0,41,2,15850,191,162,34,2,1,1,25,1450.845,0
2168,8,0,41,2,365,9,12,4,3,1,1,30,62.96,1
2170,15,0,41,3,11830,163,23,51,4,1,1,45,357.325,0
2171,16,0,41,3,7083,84,120,41,2,1,1,25,862.515,0
2172,31,1,37,2,1320,56,28,21,3,1,1,30,167.04,1
2176,17,1,39,2,3355,50,21,20,3,1,1,30,220.2,1
2177,17,0,40,2,2633,53,46,35,4,1,1,45,182.15,1
2178,8,0,40,2,498,11,12,6,3,1,1,30,68.36,1
2181,8,1,40,2,993,16,21,8,4,1,1,45,77.725,1
2193,10,0,29,2,3590,70,20,27,3,1,1,30,226.4,0
2195,24,0,21,3,6758,150,97,46,2,2,1,25,747.36,0
2199,11,1,13,3,1853,28,12,11,3,1,1,30,123.24,1
2205,13,0,38,1,4020,85,34,28,3,1,1,30,300.2,0
2209,9,0,38,1,4760,86,7,25,3,1,1,30,221.84,0
2210,8,0,38,1,6163,98,9,12,3,1,1,30,286.44,0
2214,11,0,37,1,15730,185,152,30,2,1,1,25,1400.175,0
2218,5,0,37,0,305,6,7,2,2,1,2,25,45.495,1
2222,25,1,33,0,1200,50,18,17,3,1,2,30,122.0,1
2224,15,0,36,1,6063,101,28,24,2,1,1,25,403.38,0
2226,11,0,35,0,3235,44,11,16,3,1,2,30,175.16,1
2227,11,1,36,0,2513,47,36,31,3,1,2,30,246.4,1
2228,5,0,36,0,305,6,7,2,3,1,2,30,40.44,1
2231,5,0,36,0,873,10,11,4,4,1,2,45,49.575,1
2238,6,0,27,1,1560,39,195,11,2,2,1,25,949.455,0
2248,5,0,9,1,4635,43,217,10,3,1,1,30,1055.12,0
2249,5,1,9,1,1733,22,7,7,3,1,1,30,98.2,1
2267,8,0,44,0,1095,22,30,14,3,1,2,30,164.68,0
2268,6,0,43,0,385,8,17,6,2,1,2,25,94.185,1
2272,29,1,39,0,1340,55,33,23,3,1,2,30,187.8,1
2275,7,0,40,2,3225,30,17,20,3,1,1,30,198.2,0
2276,15,1,41,0,3375,49,26,22,3,1,2,30,240.96,1
2277,15,1,42,0,2653,52,51,37,4,1,2,45,195.125,1
2278,6,0,42,0,518,10,17,8,3,1,2,30,89.12,1
2279,7,0,42,2,2053,33,17,12,4,1,1,45,94.65,0
2281,6,1,42,0,1013,15,26,10,4,1,2,45,90.7,1
2293,8,0,31,2,3610,69,25,29,3,1,1,30,247.16,0
2294,8,0,24,2,2080,34,45,20,3,1,1,30,264.56,0
2296,18,0,21,2,9318,179,90,46,5,1,1,55,277.455,0
2298,8,0,15,3,4775,48,232,16,3,1,1,30,1120.92,0
2299,9,1,15,3,1873,27,17,13,3,1,1,30,144.0,1
2300,12,0,36,1,4595,75,7,15,3,1,1,30,214.8,0
2305,15,0,36,1,4000,86,29,26,3,1,1,30,279.44,0
2309,11,0,36,1,4740,87,7,23,3,1,1,30,221.08,0
2311,13,0,36,0,2463,58,7,15,3,1,2,30,128.84,0
2314,13,0,35,1,15710,186,147,28,2,1,1,25,1376.82,0
2315,7,0,35,1,6725,90,183,24,3,1,1,30,1004.6,0
2317,6,0,36,0,935,18,10,6,3,1,2,30,78.12,0
2318,5,0,35,0,305,6,7,2,2,1,2,25,45.495,1
2322,27,1,31,0,1180,51,13,15,3,1,2,30,101.24,1
2326,13,1,33,0,3215,45,7,14,3,1,2,30,158.4,1
2327,13,1,34,0,2493,48,31,29,3,1,2,30,225.64,1
2328,5,0,34,0,305,6,7,2,3,1,2,30,40.44,1
2329,5,0,34,1,1893,29,7,4,4,1,1,45,65.55,0
2331,5,0,34,0,305,6,7,2,4,1,2,45,25.275,1
2336,7,0,33,0,1890,48,35,18,3,1,2,30,217.52,0
2339,8,0,24,1,1793,43,27,66,4,1,1,45,113.4,0
2349,7,1,7,1,1713,23,7,5,3,1,1,30,97.44,1
2359,17,0,46,3,5080,99,24,33,4,1,1,45,189.475,0
2361,19,0,46,0,2803,70,30,25,4,1,2,45,146.825,0
2368,10,0,45,0,565,16,22,8,3,1,2,30,111.24,1
2372,33,1,41,0,1520,63,38,25,3,1,2,30,215.32,1
2376,19,1,43,0,3555,57,31,24,3,1,2,30,268.48,1
2377,19,1,44,0,2833,60,56,39,4,1,2,45,212.325,1
2378,10,0,44,0,698,18,22,10,3,1,2,30,116.64,1
2379,11,0,44,2,2233,41,22,14,4,1,1,45,111.85,0
2380,13,0,41,3,7350,113,36,30,5,1,1,55,165.945,0
2381,10,1,44,0,1193,23,31,12,4,1,2,45,107.9,1
2396,22,0,23,2,9498,187,95,48,5,1,1,55,287.775,0
2399,13,0,17,3,2053,35,22,15,3,1,1,30,171.52,1
2406,5,0,34,1,2405,35,277,14,3,1,1,30,1205.6,0
2409,7,0,34,1,4560,79,7,21,3,1,1,30,213.56,0
2416,5,0,33,0,920,10,7,7,2,1,2,25,73.35,0
2418,5,0,33,0,305,6,7,2,2,1,2,25,45.495,1
2422,23,0,29,0,1000,43,8,13,2,1,2,25,82.935,1
2424,13,0,32,1,5863,94,18,20,2,1,1,25,349.065,1
2426,9,0,31,0,3035,37,7,12,3,1,2,30,150.88,1
2427,9,1,32,0,2313,40,26,27,3,1,2,30,198.12,1
2428,5,0,32,0,305,6,7,2,3,1,2,30,40.44,1
2431,5,0,32,0,305,6,7,2,4,1,2,45,25.275,1
2432,5,0,32,1,305,6,7,2,5,1,1,55,15.165,1
2437,6,0,32,1,2825,49,167,19,2,1,1,25,880.83,0
2439,5,0,22,1,1613,35,22,64,4,1,1,45,96.2,0
2441,5,0,22,0,305,6,13,2,4,1,2,45,40.275,0
2449,5,1,5,0,1533,15,7,3,3,1,1,30,89.92,1
2452,17,0,42,1,2938,74,377,31,3,1,1,30,1628.48,0
2453,17,0,43,1,4683,80,19,42,1,1,1,15,366.465,0
2464,16,0,42,1,15970,196,168,37,2,1,1,25,1483.47,0
2465,10,0,42,2,6985,100,204,33,3,1,1,30,1099.4,0
2466,7,0,42,0,1360,28,18,18,2,1,2,25,143.46,0
2468,7,0,42,0,485,14,18,7,2,1,2,25,103.455,1
2472,30,0,38,0,1440,61,34,24,3,1,2,30,196.04,1
2474,20,0,41,2,6303,112,44,31,2,1,1,25,486.675,0
2476,16,1,40,0,3475,55,27,23,3,1,2,30,249.2,1
2477,16,1,41,0,2753,58,52,38,4,1,2,45,200.275,1
2478,7,1,41,0,618,16,18,9,3,1,2,30,97.36,1
2481,7,0,41,0,1113,21,27,11,4,1,2,45,95.85,1
2484,13,0,39,4,7450,130,289,40,3,2,1,30,1459.2,0
2491,7,0,31,0,1310,24,39,10,4,1,2,45,130.85,0
2492,17,0,30,1,1710,46,37,20,2,1,1,25,245.52,0
2493,9,0,30,1,3710,75,26,30,3,1,1,30,255.4,0
2499,10,0,14,2,1973,33,18,14,3,1,1,30,152.24,1
2507,16,0,36,3,9240,119,140,40,3,1,1,30,934.36,0
2508,10,0,37,1,13898,167,7,41,3,1,1,30,590.6,0
2518,5,0,36,0,305,6,7,2,2,1,2,25,45.495,1
2519,6,0,36,1,7633,125,380,40,3,1,1,30,1830.32,0
2521,11,0,36,2,6843,73,104,34,2,1,1,25,779.22,0
2522,26,1,32,0,1080,45,12,14,3,1,2,30,93.0,1
2523,24,0,35,9,10560,91,7,39,5,1,1,55,170.265,0
2524,16,0,35,2,5943,96,22,21,2,1,1,25,370.755,1
2526,12,1,34,0,3115,39,7,13,3,1,2,30,154.16,1
2527,12,0,35,0,2393,42,30,28,4,1,2,45,135.875,1
2528,5,1,35,0,305,6,7,2,3,1,2,30,40.44,1
2531,5,0,35,0,305,6,7,2,4,1,2,45,25.275,1
2534,9,0,33,4,7090,114,267,30,3,2,1,30,1356.16,0
2536,6,0,34,0,1790,42,34,17,3,1,2,30,209.28,0
2541,5,0,25,0,305,6,17,2,4,1,2,45,50.275,0
2549,6,1,8,2,1613,17,7,4,3,1,1,30,93.2,1
2551,9,0,41,0,1223,21,35,21,3,1,2,30,189.76,0
2555,20,0,40,4,4680,98,60,45,3,1,1,30,431.12,0
2560,15,0,40,3,6823,111,35,29,3,1,1,30,417.36,0
2568,9,1,39,0,905,16,28,17,2,1,2,25,167.445,1
2572,32,1,35,0,1860,63,44,34,3,1,2,30,252.92,1
2576,18,1,37,0,3895,57,37,33,3,1,2,30,306.08,1
2577,18,0,38,0,3173,60,62,48,4,1,2,45,235.825,1
2578,9,0,38,0,1038,18,28,19,3,1,2,30,154.24,1
2581,9,0,38,0,1533,23,37,21,4,1,2,45,131.4,1
2584,15,0,36,6,7870,132,299,50,3,2,1,30,1516.08,0
2586,12,1,37,0,2570,60,66,37,4,1,2,45,230.75,1
